Timestamp,q0,q1,q2,q3,gyroX,gyroY,gyroZ,accX,accY,accZ
1447550804242630000.00,0.01,-0.04,-0.24,0.97,-0.02,-0.04,0.11,0.91,0.23,9.74
1447550804262610000.00,0.01,-0.04,-0.24,0.97,-0.02,-0.03,0.11,0.90,0.22,9.72
1447550804282550000.00,0.01,-0.04,-0.24,0.97,-0.02,-0.03,0.10,0.94,0.21,9.74
1447550804302570000.00,0.01,-0.04,-0.24,0.97,-0.02,-0.04,0.10,0.94,0.22,9.77
1447550804322570000.00,0.01,-0.04,-0.24,0.97,-0.03,-0.04,0.10,0.95,0.20,9.76
1447550804342570000.00,0.01,-0.04,-0.24,0.97,-0.02,-0.03,0.09,0.95,0.18,9.74
1447550804362550000.00,0.01,-0.04,-0.24,0.97,-0.02,-0.03,0.09,0.96,0.21,9.77
1447550804382600000.00,0.01,-0.04,-0.24,0.97,-0.02,-0.03,0.08,0.96,0.23,9.76
1447550804402570000.00,0.01,-0.04,-0.24,0.97,-0.02,-0.02,0.09,0.95,0.21,9.80
1447550804422520000.00,0.01,-0.04,-0.24,0.97,-0.01,-0.01,0.08,0.95,0.20,9.80
1447550804442570000.00,0.01,-0.04,-0.24,0.97,-0.01,0.01,0.08,0.99,0.15,9.79
1447550804462530000.00,0.01,-0.04,-0.24,0.97,-0.01,0.01,0.08,1.02,0.17,9.79
1447550804482600000.00,0.01,-0.04,-0.24,0.97,-0.02,0.03,0.08,1.05,0.17,9.79
1447550804502520000.00,0.01,-0.04,-0.24,0.97,-0.02,0.03,0.08,1.12,0.16,9.77
1447550804522530000.00,0.01,-0.04,-0.24,0.97,-0.04,0.04,0.08,1.12,0.17,9.76
1447550804542600000.00,0.01,-0.04,-0.24,0.97,-0.04,0.05,0.08,1.15,0.16,9.76
1447550804562600000.00,0.01,-0.04,-0.24,0.97,-0.06,0.06,0.06,1.18,0.15,9.77
1447550804582550000.00,0.01,-0.04,-0.24,0.97,-0.07,0.06,0.05,1.18,0.12,9.77
1447550804602600000.00,0.00,-0.04,-0.24,0.97,-0.07,0.06,0.04,1.15,0.10,9.74
1447550804622560000.00,0.00,-0.04,-0.24,0.97,-0.08,0.07,0.04,1.14,0.06,9.74
1447550804642570000.00,0.00,-0.04,-0.24,0.97,-0.09,0.07,0.04,1.10,0.05,9.76
1447550804662600000.00,0.00,-0.04,-0.24,0.97,-0.10,0.07,0.04,1.07,0.03,9.73
1447550804682530000.00,0.00,-0.04,-0.24,0.97,-0.09,0.08,0.04,1.04,0.03,9.75
1447550804702540000.00,0.00,-0.04,-0.24,0.97,-0.09,0.09,0.03,0.97,0.00,9.74
1447550804722590000.00,0.00,-0.04,-0.24,0.97,-0.08,0.09,0.03,0.90,-0.01,9.74
1447550804742540000.00,0.00,-0.04,-0.24,0.97,-0.07,0.10,0.03,0.86,-0.02,9.74
1447550804762570000.00,0.00,-0.03,-0.24,0.97,-0.06,0.11,0.03,0.83,-0.06,9.77
1447550804782510000.00,0.00,-0.03,-0.24,0.97,-0.04,0.12,0.02,0.81,-0.07,9.76
1447550804802530000.00,0.00,-0.03,-0.24,0.97,-0.03,0.12,0.02,0.84,-0.10,9.77
1447550804822540000.00,0.00,-0.03,-0.24,0.97,-0.02,0.12,0.02,0.86,-0.10,9.75
1447550804842520000.00,0.00,-0.03,-0.24,0.97,0.00,0.13,0.01,0.87,-0.10,9.76
1447550804862580000.00,0.00,-0.03,-0.24,0.97,0.01,0.13,0.01,0.86,-0.09,9.76
1447550804882490000.00,0.00,-0.03,-0.24,0.97,0.02,0.12,0.01,0.83,-0.10,9.78
1447550804902540000.00,0.00,-0.03,-0.25,0.97,0.03,0.12,0.00,0.80,-0.09,9.76
1447550804922540000.00,0.00,-0.03,-0.25,0.97,0.04,0.12,0.01,0.80,-0.08,9.79
1447550804942540000.00,0.00,-0.02,-0.25,0.97,0.05,0.12,0.00,0.77,-0.08,9.79
1447550804962530000.00,0.00,-0.02,-0.25,0.97,0.06,0.11,0.00,0.73,-0.08,9.78
1447550804982490000.00,0.00,-0.02,-0.25,0.97,0.07,0.12,0.00,0.67,-0.07,9.78
1447550805002520000.00,0.00,-0.02,-0.25,0.97,0.08,0.13,-0.01,0.61,-0.05,9.80
1447550805022530000.00,0.00,-0.02,-0.25,0.97,0.09,0.13,-0.01,0.60,-0.06,9.78
