Timestamp,range,velocity,correlation,evaluation,rssi
1.44755E+18,"[3.619999885559082, 3.18999981880188, 3.4800000190734863, 3.319999933242798]","[0.20400001108646393, 0.35100001096725464, 0.06000000238418579, 0.006000000052154064]","[0.8901961445808411, 1.0, 0.8784314393997192, 1.0]","[0.2039215862751007, 0.22745099663734436, 0.18431372940540314, 0.18431372940540314]","[72.0, 72.44999694824219, 65.25, 65.69999694824219]"
1.44755E+18,"[3.609999895095825, 3.179999828338623, 3.509999990463257, 3.2699999809265137]","[0.20100000500679016, 0.34800001978874207, 0.05900000408291817, 0.0]","[1.0, 1.0, 0.8901961445808411, 0.8705883026123047]","[0.1882353127002716, 0.20784315466880798, 0.18431372940540314, 0.1882353127002716]","[71.0999984741211, 69.29999542236328, 65.25, 64.79999542236328]"
1.44755E+18,"[3.4800000190734863, 3.2200000286102295, 3.4499998092651367, 3.2699999809265137]","[0.20400001108646393, 0.36100003123283386, 0.04800000041723251, 0.006000000052154064]","[1.0, 0.8784314393997192, 0.9294118285179138, 0.9921569228172302]","[0.2039215862751007, 0.20784315466880798, 0.18431372940540314, 0.22352942824363708]","[70.6500015258789, 68.8499984741211, 65.25, 69.29999542236328]"
1.44755E+18,"[3.4700000286102295, 3.2300000190734863, 3.379999876022339, 3.3399999141693115]","[0.19100001454353333, 0.3530000150203705, 0.04100000113248825, 0.003000000026077032]","[0.874509871006012, 1.0, 1.0, 1.0]","[0.2039215862751007, 0.21568629145622253, 0.22745099663734436, 0.16470588743686676]","[70.19999694824219, 69.29999542236328, 69.29999542236328, 63.89999771118164]"
1.44755E+18,"[3.4800000190734863, 3.2300000190734863, 3.309999942779541, 3.4099998474121094]","[0.1900000125169754, 0.35100001096725464, 0.03200000151991844, 0.009000000543892384]","[1.0, 0.917647123336792, 0.8705883026123047, 0.9960784912109375]","[0.20784315466880798, 0.2039215862751007, 0.19607844948768616, 0.1725490242242813]","[73.3499984741211, 67.94999694824219, 66.1500015258789, 63.89999771118164]"
1.44755E+18,"[3.4499998092651367, 3.240000009536743, 3.2799999713897705, 3.419999837875366]","[0.20200000703334808, 0.3540000021457672, 0.03800000250339508, 0.005000000353902578]","[0.874509871006012, 1.0, 0.9137255549430847, 0.8901961445808411]","[0.2039215862751007, 0.21176472306251526, 0.19607844948768616, 0.20784315466880798]","[71.54999542236328, 70.19999694824219, 65.25, 69.29999542236328]"
1.44755E+18,"[3.3999998569488525, 3.2799999713897705, 3.319999933242798, 3.319999933242798]","[0.1770000010728836, 0.33500000834465027, 0.03800000250339508, -0.007000000216066837]","[0.9960784912109375, 0.9098039865493774, 0.8901961445808411, 1.0]","[0.21176472306251526, 0.21568629145622253, 0.20784315466880798, 0.18431372940540314]","[72.0, 70.19999694824219, 69.29999542236328, 68.4000015258789]"
1.44755E+18,"[3.3399999141693115, 3.2899999618530273, 3.359999895095825, 3.309999942779541]","[0.1600000113248825, 0.31200000643730164, 0.05000000074505806, -0.003000000026077032]","[0.8666667342185974, 1.0, 0.8901961445808411, 0.9058824181556702]","[0.2196078598499298, 0.22745099663734436, 0.21176472306251526, 0.2196078598499298]","[71.54999542236328, 72.0, 69.75, 70.19999694824219]"
1.44755E+18,"[3.319999933242798, 3.259999990463257, 3.2799999713897705, 3.3299999237060547]","[0.14300000667572021, 0.2800000011920929, 0.06200000271201134, -0.005000000353902578]","[1.0, 0.9450981020927429, 0.9058824181556702, 1.0]","[0.23137256503105164, 0.2352941334247589, 0.19607844948768616, 0.2196078598499298]","[73.79999542236328, 71.54999542236328, 66.5999984741211, 70.6500015258789]"
1.44755E+18,"[3.3399999141693115, 3.2300000190734863, 3.2200000286102295, 3.3999998569488525]","[0.15600000321865082, 0.28600001335144043, 0.04500000178813934, 0.00800000037997961]","[0.917647123336792, 1.0, 0.8823530077934265, 1.0]","[0.18431372940540314, 0.24313727021217346, 0.20000001788139343, 0.1568627506494522]","[69.75, 72.9000015258789, 65.69999694824219, 64.79999542236328]"
1.44755E+18,"[3.2799999713897705, 3.259999990463257, 3.169999837875366, 3.419999837875366]","[0.17600001394748688, 0.32200002670288086, 0.039000000804662704, 0.0020000000949949026]","[0.8941177129745483, 0.9058824181556702, 0.9137255549430847, 1.0]","[0.2039215862751007, 0.20784315466880798, 0.2352941334247589, 0.19607844948768616]","[72.0, 68.8499984741211, 70.19999694824219, 68.8499984741211]"
1.44755E+18,"[3.18999981880188, 3.2899999618530273, 3.18999981880188, 3.3299999237060547]","[0.17900000512599945, 0.3410000205039978, 0.014000000432133675, 0.0]","[1.0, 1.0, 1.0, 1.0]","[0.23137256503105164, 0.18431372940540314, 0.18039216101169586, 0.19607844948768616]","[72.9000015258789, 67.04999542236328, 64.3499984741211, 68.8499984741211]"
1.44755E+18,"[3.1599998474121094, 3.3399999141693115, 3.18999981880188, 3.319999933242798]","[0.15700000524520874, 0.33500000834465027, 0.0, 0.0]","[0.9058824181556702, 0.8627451658248901, 0.9294118285179138, 1.0]","[0.22352942824363708, 0.18431372940540314, 0.20000001788139343, 0.19607844948768616]","[71.54999542236328, 67.94999694824219, 66.5999984741211, 69.75]"
1.44755E+18,"[3.179999828338623, 3.3299999237060547, 3.1599998474121094, 3.359999895095825]","[0.14900000393390656, 0.31200000643730164, -0.010000000707805157, 0.005000000353902578]","[0.9647059440612793, 1.0, 0.9058824181556702, 1.0]","[0.24705883860588074, 0.2039215862751007, 0.20000001788139343, 0.1764705926179886]","[75.5999984741211, 69.75, 65.69999694824219, 68.4000015258789]"
1.44755E+18,"[3.179999828338623, 3.2899999618530273, 3.129999876022339, 3.419999837875366]","[0.14800000190734863, 0.30800002813339233, -0.01600000075995922, 0.0]","[0.874509871006012, 0.9098039865493774, 0.8784314393997192, 0.874509871006012]","[0.22745099663734436, 0.19215688109397888, 0.2039215862751007, 0.1882353127002716]","[73.3499984741211, 67.04999542236328, 67.94999694824219, 69.29999542236328]"
1.44755E+18,"[3.2300000190734863, 3.2699999809265137, 3.0899999141693115, 3.4499998092651367]","[0.15400001406669617, 0.29100000858306885, -0.023000001907348633, 0.004000000189989805]","[0.8666667342185974, 0.8980392813682556, 0.9098039865493774, 0.9372549653053284]","[0.2196078598499298, 0.2352941334247589, 0.2039215862751007, 0.1882353127002716]","[72.44999694824219, 73.3499984741211, 67.5, 70.19999694824219]"
1.44755E+18,"[3.18999981880188, 3.3299999237060547, 3.1399998664855957, 3.419999837875366]","[0.15400001406669617, 0.28700000047683716, -0.030000001192092896, 0.0]","[1.0, 1.0, 0.874509871006012, 1.0]","[0.2352941334247589, 0.18431372940540314, 0.1882353127002716, 0.1568627506494522]","[74.25, 67.04999542236328, 65.25, 65.69999694824219]"
1.44755E+18,"[3.169999837875366, 3.3399999141693115, 3.1399998664855957, 3.369999885559082]","[0.13199999928474426, 0.27800002694129944, -0.03100000135600567, -0.0020000000949949026]","[1.0, 0.9568628072738647, 0.8901961445808411, 0.8941177129745483]","[0.2352941334247589, 0.19215688109397888, 0.20000001788139343, 0.18039216101169586]","[73.3499984741211, 68.4000015258789, 67.94999694824219, 67.94999694824219]"
1.44755E+18,"[3.179999828338623, 3.3399999141693115, 3.169999837875366, 3.369999885559082]","[0.1120000034570694, 0.2800000011920929, -0.03800000250339508, 0.0]","[0.9490196704864502, 0.9333333969116211, 1.0, 0.960784375667572]","[0.2039215862751007, 0.21176472306251526, 0.22352942824363708, 0.16078431904315948]","[72.44999694824219, 70.6500015258789, 69.75, 66.1500015258789]"
1.44755E+18,"[3.179999828338623, 3.359999895095825, 3.169999837875366, 3.379999876022339]","[0.11800000816583633, 0.2840000092983246, -0.03400000184774399, 0.003000000026077032]","[0.8941177129745483, 0.9137255549430847, 0.9333333969116211, 1.0]","[0.2196078598499298, 0.16078431904315948, 0.2352941334247589, 0.16862745583057404]","[71.0999984741211, 67.94999694824219, 69.75, 66.5999984741211]"
1.44755E+18,"[3.129999876022339, 3.3999998569488525, 3.2100000381469727, 3.309999942779541]","[0.10300000756978989, 0.24700000882148743, -0.029000001028180122, -0.004000000189989805]","[0.9098039865493774, 0.8784314393997192, 0.9215686917304993, 0.9725490808486938]","[0.20000001788139343, 0.21568629145622253, 0.19215688109397888, 0.19607844948768616]","[70.19999694824219, 72.44999694824219, 66.5999984741211, 68.4000015258789]"
1.44755E+18,"[3.119999885559082, 3.429999828338623, 3.2699999809265137, 3.319999933242798]","[0.06000000238418579, 0.21700000762939453, -0.02800000086426735, 0.0]","[0.9137255549430847, 0.9686275124549866, 1.0, 0.9764706492424011]","[0.2352941334247589, 0.2352941334247589, 0.18431372940540314, 0.1882353127002716]","[73.3499984741211, 73.79999542236328, 64.79999542236328, 64.79999542236328]"
1.44755E+18,"[3.069999933242798, 3.359999895095825, 3.259999990463257, 3.319999933242798]","[0.08300000429153442, 0.2200000137090683, -0.012000000104308128, 0.0]","[0.9215686917304993, 0.9529412388801575, 0.8823530077934265, 0.960784375667572]","[0.22745099663734436, 0.23137256503105164, 0.1725490242242813, 0.18039216101169586]","[72.0, 71.54999542236328, 63.89999771118164, 65.69999694824219]"
1.44755E+18,"[3.059999942779541, 3.309999942779541, 3.3399999141693115, 3.2300000190734863]","[0.09600000083446503, 0.1680000126361847, 0.005000000353902578, 0.004000000189989805]","[0.9254902601242065, 0.9333333969116211, 0.9254902601242065, 0.9215686917304993]","[0.2392157018184662, 0.2196078598499298, 0.18039216101169586, 0.2039215862751007]","[72.0, 72.9000015258789, 65.25, 69.29999542236328]"
1.44755E+18,"[3.0299999713897705, 3.2799999713897705, 3.4499998092651367, 3.18999981880188]","[0.09600000083446503, 0.11500000208616257, -0.006000000052154064, 0.003000000026077032]","[0.9764706492424011, 0.9333333969116211, 0.8941177129745483, 0.9686275124549866]","[0.27450981736183167, 0.24705883860588074, 0.1568627506494522, 0.19215688109397888]","[76.04999542236328, 76.5, 65.25, 68.4000015258789]"
1.44755E+18,"[3.0299999713897705, 3.3399999141693115, 3.379999876022339, 3.259999990463257]","[0.09300000220537186, 0.06599999964237213, -0.00800000037997961, 0.0]","[0.9647059440612793, 0.960784375667572, 0.9647059440612793, 0.9764706492424011]","[0.24313727021217346, 0.2196078598499298, 0.1882353127002716, 0.20784315466880798]","[74.69999694824219, 73.3499984741211, 67.94999694824219, 69.29999542236328]"
1.44755E+18,"[3.0399999618530273, 3.4099998474121094, 3.319999933242798, 3.309999942779541]","[0.08500000089406967, 0.00800000037997961, 0.0020000000949949026, 0.0010000000474974513]","[0.9764706492424011, 0.9803922176361084, 0.917647123336792, 0.9568628072738647]","[0.2352941334247589, 0.23137256503105164, 0.19607844948768616, 0.20784315466880798]","[73.3499984741211, 73.79999542236328, 67.5, 70.19999694824219]"
1.44755E+18,"[3.109999895095825, 3.4600000381469727, 3.319999933242798, 3.2899999618530273]","[0.08400000631809235, -0.021000001579523087, -0.003000000026077032, 0.003000000026077032]","[0.988235354423523, 0.9843137860298157, 0.9725490808486938, 0.9764706492424011]","[0.24313727021217346, 0.21176472306251526, 0.16862745583057404, 0.2196078598499298]","[74.69999694824219, 71.0999984741211, 63.0, 70.6500015258789]"
1.44755E+18,"[3.129999876022339, 3.419999837875366, 3.2899999618530273, 3.259999990463257]","[0.10600000619888306, -0.003000000026077032, -0.015000000596046448, -0.0010000000474974513]","[0.9764706492424011, 0.9921569228172302, 0.9843137860298157, 0.9333333969116211]","[0.23137256503105164, 0.21568629145622253, 0.18431372940540314, 0.20784315466880798]","[72.0, 73.3499984741211, 65.25, 67.5]"
1.44755E+18,"[3.2100000381469727, 3.359999895095825, 3.309999942779541, 3.240000009536743]","[0.08000000566244125, -0.00800000037997961, 0.009000000543892384, -0.006000000052154064]","[0.9921569228172302, 0.9843137860298157, 0.9490196704864502, 0.9764706492424011]","[0.26274511218070984, 0.18431372940540314, 0.2039215862751007, 0.22352942824363708]","[76.04999542236328, 66.1500015258789, 67.5, 68.4000015258789]"
1.44755E+18,"[3.2899999618530273, 3.240000009536743, 3.259999990463257, 3.2699999809265137]","[0.09000000357627869, 0.010000000707805157, 0.01100000087171793, -0.004000000189989805]","[0.960784375667572, 0.9843137860298157, 0.9647059440612793, 0.9568628072738647]","[0.1882353127002716, 0.20784315466880798, 0.19215688109397888, 0.22352942824363708]","[67.04999542236328, 68.4000015258789, 64.79999542236328, 70.19999694824219]"
1.44755E+18,"[3.4600000381469727, 3.129999876022339, 3.3299999237060547, 3.2699999809265137]","[0.1290000081062317, 0.0560000017285347, 0.00800000037997961, 0.005000000353902578]","[0.9568628072738647, 0.9450981020927429, 0.9411765336990356, 0.8705883026123047]","[0.18431372940540314, 0.2039215862751007, 0.1882353127002716, 0.22745099663734436]","[71.0999984741211, 68.8499984741211, 67.04999542236328, 70.6500015258789]"
1.44755E+18,"[3.6599998474121094, 3.0399999618530273, 3.429999828338623, 3.2200000286102295]","[0.1420000046491623, 0.058000002056360245, 0.013000000268220901, 0.0]","[0.9764706492424011, 0.960784375667572, 0.9490196704864502, 0.960784375667572]","[0.16078431904315948, 0.22352942824363708, 0.16470588743686676, 0.2196078598499298]","[69.29999542236328, 68.4000015258789, 65.69999694824219, 69.29999542236328]"
1.44755E+18,"[3.7200000286102295, 3.0399999618530273, 3.4499998092651367, 3.2200000286102295]","[0.15800000727176666, 0.1120000034570694, 0.007000000216066837, -0.003000000026077032]","[0.9490196704864502, 0.9372549653053284, 0.9686275124549866, 0.9450981020927429]","[0.18431372940540314, 0.2196078598499298, 0.16862745583057404, 0.22745099663734436]","[72.0, 71.54999542236328, 67.04999542236328, 70.19999694824219]"
1.44755E+18,"[3.619999885559082, 3.0799999237060547, 3.4099998474121094, 3.18999981880188]","[0.17500001192092896, 0.16600000858306885, 0.0, 0.0]","[0.9098039865493774, 0.9333333969116211, 0.9529412388801575, 0.9843137860298157]","[0.16470588743686676, 0.24313727021217346, 0.16078431904315948, 0.2196078598499298]","[67.5, 71.54999542236328, 64.3499984741211, 67.5]"
1.44755E+18,"[3.549999952316284, 3.129999876022339, 3.4800000190734863, 3.169999837875366]","[0.1850000023841858, 0.17400000989437103, -0.004000000189989805, 0.003000000026077032]","[0.9254902601242065, 0.8941177129745483, 0.9333333969116211, 0.9058824181556702]","[0.1764705926179886, 0.2196078598499298, 0.1568627506494522, 0.2392157018184662]","[71.0999984741211, 70.19999694824219, 65.25, 71.54999542236328]"
1.44755E+18,"[3.4600000381469727, 3.179999828338623, 3.4800000190734863, 3.169999837875366]","[0.16100001335144043, 0.18800000846385956, -0.012000000104308128, -0.0010000000474974513]","[0.9098039865493774, 0.9294118285179138, 0.960784375667572, 0.988235354423523]","[0.1882353127002716, 0.21568629145622253, 0.19607844948768616, 0.20784315466880798]","[72.0, 69.29999542236328, 67.94999694824219, 67.5]"
1.44755E+18,"[3.4600000381469727, 3.169999837875366, 3.369999885559082, 3.2200000286102295]","[0.1600000113248825, 0.19200000166893005, -0.029000001028180122, 0.005000000353902578]","[0.9294118285179138, 0.917647123336792, 0.960784375667572, 0.9450981020927429]","[0.16470588743686676, 0.250980406999588, 0.18431372940540314, 0.22745099663734436]","[67.94999694824219, 73.79999542236328, 65.69999694824219, 70.19999694824219]"
1.44755E+18,"[3.3299999237060547, 3.2799999713897705, 3.379999876022339, 3.2699999809265137]","[0.1600000113248825, 0.18000000715255737, -0.03700000047683716, 0.0020000000949949026]","[0.8823530077934265, 0.9294118285179138, 0.9686275124549866, 0.9450981020927429]","[0.18431372940540314, 0.19607844948768616, 0.1764705926179886, 0.21568629145622253]","[69.29999542236328, 70.6500015258789, 65.69999694824219, 69.75]"
1.44755E+18,"[3.2300000190734863, 3.369999885559082, 3.4099998474121094, 3.259999990463257]","[0.1730000078678131, 0.2160000056028366, -0.04000000283122063, 0.0]","[0.9411765336990356, 0.9686275124549866, 0.917647123336792, 0.9215686917304993]","[0.21568629145622253, 0.19215688109397888, 0.18431372940540314, 0.2039215862751007]","[73.3499984741211, 68.8499984741211, 67.04999542236328, 66.5999984741211]"
1.44755E+18,"[3.240000009536743, 3.429999828338623, 3.4099998474121094, 3.2699999809265137]","[0.16500000655651093, 0.2160000056028366, -0.03500000014901161, 0.0]","[1.0, 0.9529412388801575, 0.9215686917304993, 0.8901961445808411]","[0.19215688109397888, 0.19215688109397888, 0.16078431904315948, 0.20784315466880798]","[71.0999984741211, 69.29999542236328, 63.44999694824219, 68.8499984741211]"
1.44755E+18,"[3.309999942779541, 3.4099998474121094, 3.4600000381469727, 3.2699999809265137]","[0.1720000058412552, 0.24500000476837158, -0.03400000184774399, -0.005000000353902578]","[0.9215686917304993, 0.8823530077934265, 0.8823530077934265, 0.8862745761871338]","[0.2039215862751007, 0.21176472306251526, 0.18431372940540314, 0.22745099663734436]","[72.0, 72.0, 66.1500015258789, 71.0999984741211]"
1.44755E+18,"[3.379999876022339, 3.369999885559082, 3.4600000381469727, 3.309999942779541]","[0.15800000727176666, 0.28700000047683716, -0.01600000075995922, 0.0010000000474974513]","[0.874509871006012, 0.8705883026123047, 0.9294118285179138, 1.0]","[0.15294118225574493, 0.1568627506494522, 0.1411764770746231, 0.22745099663734436]","[67.5, 65.25, 63.0, 69.29999542236328]"
1.44755E+18,"[3.5199999809265137, 3.2699999809265137, 3.3999998569488525, 3.3299999237060547]","[0.15900000929832458, 0.26900002360343933, -0.017000000923871994, 0.0]","[0.9372549653053284, 0.8862745761871338, 0.9294118285179138, 0.9019608497619629]","[0.16078431904315948, 0.22352942824363708, 0.1764705926179886, 0.22745099663734436]","[71.54999542236328, 71.0999984741211, 65.69999694824219, 70.6500015258789]"
1.44755E+18,"[3.5999999046325684, 3.2300000190734863, 3.3999998569488525, 3.369999885559082]","[0.1720000058412552, 0.29100000858306885, 0.0, -0.007000000216066837]","[0.9960784912109375, 0.9215686917304993, 1.0, 0.9137255549430847]","[0.1568627506494522, 0.21176472306251526, 0.19215688109397888, 0.20000001788139343]","[72.44999694824219, 71.0999984741211, 68.8499984741211, 69.29999542236328]"
